"sector","herd_size_cattle","herd_size_sheep","Herdsizegoats","animals_live_with_people","farm_fenced","wildlife_interaction","shared_water","breeding_methods","having_vet","buryingAbort","animalFeedAbort","throwingAbort","aborted_animal_fate","new_introduction","brucellosis_awareness","species","Breed","Age","Sex","ELISA_sample"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",26,0,27,"No","Yes","Yes","No","Natural (using bulls)","No","No","No","Yes","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Male","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Male","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Young Adult ","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Young Adult ","Male","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Male","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Positive"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",54,0,27,"No","Yes","No","No","Natural (using bulls)","Yes","No","Yes","No","Kept in the herd","Yes","Yes","goat","Local","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","goat","Exotic","Adult","Male","Positive"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","goat","Exotic","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","goat","Exotic","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Exotic","Young Adult ","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Exotic","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","goat","Exotic","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","goat","Exotic","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
"Karangazi",106,0,14,"No","Yes","Yes","No","Both methods are used","No","Yes","No","No","Kept in the herd","No","Yes","cattle","Cross","Adult","Female","Negative"
